,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,XMR,EOS,MIOTA,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.272428200783401,0.107296431763488,0.176595022170208,0.104408430378518,1.73472347597681e-18,0,0.0171088548561577,0,0,-0.0935629153199577,0.0416839896978958,0,0,0,0,0,0
ETH,0,0,0,0.0957358597166896,0.259684824267286,0.217480368308981,0.122099758294502,0.0913111751950263,0,0,0,0,0,0,0.130544051688424,0,0,0,0,-0.0392596693626442
XRP,0,-0.102223438687306,0,0,0.159936915391972,0,-0.106917962471613,0.349117987188285,0.105844098027606,0.00727385732686288,0,0,0.231206651892854,0.213693184251474,0.133430925107494,0,0,0,0,0
BCH,0.193796722995698,0,0,0,0.189964863275221,0,0.143652435981157,0,0.189402454432191,0,0,0.266698342525699,0,-0.0283843543698283,0.111553043250877,0,0,0,0,-0.0239342159772394
LTC,0.154957898255882,0.0886976714848843,0,0.130331037493759,0,0,0,-0.0376404173697514,0,0.0986246871494418,0.120934581986954,0.106637398893468,0,0,0.06975253822446,0,0,0,0,0
ADA,0,0,0,0,0.0765696641598453,0,0.0519394804313944,0.172195005634202,0.0413626188462917,0,0.400027030630339,0,0.147734923400824,0.00808057765891745,0,0,-0.188405677868014,0,0,-0.0421715714878496
NEO,0,0.330427670376983,0,0.173290919881403,0,0.124941203062779,0,0.0192149293235358,0,0,0,0,0,-0.0382737035414063,0.281403838212912,0,0,0,0,0
XLM,0,0.252618605107381,0.0895452852023932,0.150878467307635,0,0.348045996713991,0.0611509244514479,0,0.193760279499953,-0.0173077103455371,0.344812926400846,0,0.0391137237802638,-0.175171678575709,-0.192461955981198,0,0,0,0,0.0488238663991814
XMR,0.174357495334971,0,0,0.0367153163854022,0.0509607573895201,0.085665338581609,0.160674648737094,0.0202843603102313,0,0.0357021308725753,0.128921795703586,0.0889226687286914,0,0.0173447736663532,0.0944974669903726,0,0,0,0,0.0638818512945782
EOS,0.167527645935111,0,0,0.00836387459448712,0,0.029823244919175,-0.441576728130825,0.019596769884377,0.314087542461807,0,0,0.0865526021637332,0.12783674337212,0.0825229508869201,0.5412953724324,0,0,0,0,-0.0667610506576153
MIOTA,0,0,0.161121558942326,0.0258693136103243,0.192796040446896,0.0164229376395928,0,0,0.192622629443803,0,0,0.318210337661286,0.105879023445282,0.0137276500955884,0,0,0,0,0,0
DASH,0,0.0744787411585777,0,0,0,0,0,0,0.235262783686497,0.173433469723047,0.110015785188164,0,-0.104025099578118,0.0939567550451927,0.137878188244931,0,0,0,0,0.0509000687437119
XEM,0,-0.0287216404651145,0,0,0.259521209836826,0.0766245509062028,0.113876182670846,0.262940908353324,0,0,0.171288649658945,0,0,0.071381207440739,0,0,0,0,0,0.0901363884610505
TRX,1.44218725827231,0,0.292692042945875,0,-0.77125107333589,0.129144298448604,-0.431663823291568,0,-0.351710912364649,0,0,0,0.372411026927046,0,0.404146614226041,0,0,0,0,0.210951269186778
ETC,0,0,0.25356376170844,0.165781524225217,0,-0.119272343239345,0.285720161378235,0,-0.0135575442145361,0,0.345286729986792,0,1.0842021724855e-19,0,0,0,0,0,0,0
BV010082.Index,0,-0.0344930730997148,0,0.0916596331286158,0,0,-0.0581411943211539,0,-0.0140616525294646,0.000595584258592203,0,0,0.0424815649008404,-0.0377404162272564,0.0489352399484928,0,0.170733179323113,0,0,-0.0398396075163941
CVIX.Index,0,0,0,0.0312591489876397,0,0.198202750930308,-0.0246623653353403,-0.0392626305982828,-0.0638674568095527,0,-0.105779340121422,0,0,-0.0265236305253047,0,0,0,0,0,0.0719409135651335
DXY.Curncy,-0.00264100972227469,0.0153634026071476,0.0418470232314795,0,0,0,-0.00173125763828953,-0.0157964750249152,0,-0.0198588873527482,0,-0.0266849460966833,0,-0.0105728662762713,0,-0.0289097078361237,-0.0328447199563747,0,0,0
SPX.Index,0,-0.0190541918460589,0,0,0,0,0,-0.00683194605646377,0.0269179064911436,0,0,0,0.0229353446166338,-0.0497127775218658,0,0,0,0,0,-0.0773389607299434
VIX.Index,-0.786020264334488,0,-0.0453959746423221,0.31235183494339,0,0,0.227867959036006,0,0,0.265375360558038,-0.553018518165479,0,0,0.0841491898967495,0.219657229630878,-1.95189471663784,0.233715300342872,0,-3.25728279793777,0
