,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.130579257738739,0,0.29592899996265,0,0,-0.0260363486635026,0.0639218635251175,-0.0181677544465065,0.022858585778522,0.0321383554931379,-0.0751415146048421,-0.20882091381143,0,-1.30403280671029,-0.133024656946491
ETH,0.392910650722818,0,0,0.0191524555829304,0.0427390480366958,0.0211033120170578,0,-0.10917887870042,0,0,-0.0468600070255553,0.401607999574275,0,0,0,0.0782471877411093
XRP,0,-0.0743958610553183,0,0,-0.054204726433614,0.0774753230446207,0.17535980575592,0.159695303787847,0.102084757112527,0.325211365466675,0.203733332509854,-0.0955911740685541,0,0,0,0.173305172919912
LTC,0.438025956686123,-0.00796153970122901,0,0,0.0580973866613482,0.00616892220509275,0.0117283585724052,0,0.12754803429821,0,0.0030987663570356,0,0,0,0,0.0362197270680466
ETC,-1.58779561169464,0,0.267030653141964,1.36717037627577,0,-0.126745057062363,0.47176488981084,-0.0326106153183649,-0.869041550579592,0.163624546119141,0.284982514069678,0.735712191980082,-0.672716696854981,0,0,-0.365518711963598
XMR,0,0.731560106037844,-0.377138271064859,0,0.0774991846747857,0,0.413174096447946,-0.140896998879857,-0.537915173426794,0.605815548297291,-0.198975553670811,-0.988135604625542,0.684493447715065,0,0,0
DASH,0,-0.257084294567944,-0.23510590794591,0,0.0885210453858206,0.0498052811101874,0,0.0262949233175104,-0.0337947241171116,0.214686098937394,-0.141731023097467,0,0,0,0,-0.1349825938719
XEM,0,0,0,-0.718207377995323,0.0157356344097636,0,0,0,0,0,0,0,0,0,0,-0.0941229296091582
DOGE,0,0,0.170745341869301,0,-0.0380523532576533,-0.133745544859254,0,-0.12406796475125,0,0,0,0,0,0,0,0
XLM,-0.660835079542046,0,0.58443942125654,0,-0.0137239483749286,0.0437646041405745,-0.0872152074699279,-0.133847865527587,0.150447893933926,0,0.00905714243082563,0.691559231886407,1.02972465140311,0,0,0
DGB,-1.14998252485069,0.547136053577402,0.398945386759078,0,-0.4732229438213,-0.182453222787938,-0.113688064756768,-0.184017457209332,-0.583565285162423,0,0,0,0,0,0,0.0195449854951994
BV010082.Index,-0.28486416632174,0,-0.011965031301267,-0.193182003504187,-0.0622274901384008,0.0360421100066111,-0.0369667498968782,-0.0843191738226884,-0.0808717874159091,-0.0560366198446847,0,0,0.0906179763325175,0.384440590204989,0,0.0331511122323793
CVIX.Index,-0.309991768579567,0.168568582386032,0,0.151779599061629,-0.0537162325167104,-0.000732054320829902,0.0925557757641466,0.0380679465143106,0,0.099353959137241,0.0750759422859909,-0.257813512905916,0,0,0,0.116660187010007
DXY.Curncy,-0.0341260386411257,0.0291395841903208,0,0,0,0.0059986326917084,0.00898001865115119,-0.0263544769370732,0,0.0156869771219831,-0.0188741287445375,0.187666797629927,-0.0598950313835526,0,0,0
SPX.Index,-0.0458769430369695,0,0.0181672909389253,0,-0.00986343941123136,0.0050933383668512,0.0208059905819057,0.00723558895729879,0.0157151847012767,-0.0222102020126835,0.0160288763652106,-0.0255093744680269,0,-0.0324014488599541,0,-0.0662300810165769
VIX.Index,0,0.248262258405812,0.0780523162233965,0,0.0650795594383745,0,0,-0.118307094864058,0.2376372374421,-0.13213205800995,0.194334284284536,0,1.18931014252666,0,-5.48141047708796,0
