,BTC,ETH,XRP,LTC,XEM,DASH,MIOTA,ETC,NEO,XMR,EOS,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0566520863873894,0,0.298092692991626,0.185202996729828,0.078362392359722,0,0,0.0368984339086065,0,0.0352446541493979,0,-0.0741281775578042,0,0,0,0,0,0.207318702844186
ETH,0,0,0.197530023913859,0,0,0,0.153035723798616,0.229770235872772,0,0,0.0531908800546517,0.00970388321525336,0.0426068274490577,0.200991650044398,0,0,0,0,0.155109937720601
XRP,0,0,0,0,0.0946257773561161,0.121161192834505,0.0155482268647395,0,-0.0625357111555388,0.0113684698070192,0.0399195813656265,0,0.169229903382875,0.483972947004988,0,0,0,0,-0.076637925214394
LTC,0.3218425020632,-0.0480036582161888,0,0,0.00171774852168478,-0.141167826573823,-0.0366852084505361,0.214182834070804,0.132033967454429,0.0168135343447365,0,0.113073338242081,0,0.174436673753932,0,0,0,0,0
XEM,0.306819251290328,0,0.2706319523474,0.155447116815919,0,0,0,0,0,0.277851292050817,0.120274669709816,-0.125347598317003,0,0.0117844395804739,0,0,0,0,0
DASH,0.0541204971204902,0.137859120569162,0,0.107286897560035,0.12053588802,0,0,0.14971263171588,0.033535080286678,0.299999684936515,0,-0.0229507230616836,0,0,0,0,0,0,0.101321882280577
MIOTA,0.329467469737218,0,1.21962270387009,0,0.0546425618901156,0,0,0.274084300878778,0.00532885188757152,0,0.0252157202440268,0,0.14462464722714,-0.0355402522105645,0,0,0,0,0.132278252592028
ETC,0,0.21921320250912,0,0.178280735769239,0,0.159716106613779,0,0,-0.028572577144874,0.258097559760497,0.0211745998311867,0,-0.113943457890625,0.153422432037474,0,0,0,0,0
NEO,-0.80429732733417,0.17807375967887,-1.69865746665576,0,0.864680676658551,0.740940049928436,0.0230104149399629,0,0,0,0.0827502157594297,0.741734395948011,0,0,0,-4.43129340148008,0,0,1.38777878078145e-17
XMR,0,-0.00869849264446239,0,0.135658037709962,0.139735195965829,0.46548681356537,0,0,-0.0172103319986417,0,0,0,0.254232138315666,0,0,0,0,0,0
EOS,0,0.332136119256929,0,-0.469958384466621,0.0709690588196019,-0.153105052553136,0,0.610359393670491,0.122303526287797,0,0,0.0528638750366415,0.386976884290779,0,0,0,0,0,0
ZEC,0,0.231382457206266,0,0,0,-8.67361737988404e-19,0.0573687922363287,0,0.0626734970391263,0,0.0278186425100586,0,0.231110423188617,0.14212564665079,0,0,0,0,0
XLM,-0.0946980052098164,-0.046635057760116,0.301682877269747,0,0,0,0.0246595174181678,-0.0315863321911218,0.0575997318759268,0.614770852814201,0.0773469129807091,0.275402474386624,0,0.0127175810881925,0,0,0,0,0
DOGE,0.352415010336194,0,0.518234652756656,0.18269466928481,0,0.0504157447979729,-0.0750736539654063,0,-0.0103268379502271,0.421625945071717,-0.0597165664594801,0,0,0,0,0,0,0,-0.0753222329488481
BV010082.Index,-0.111511783648195,0,0,0.00693540670191301,-0.0319775908792431,0.0590359372285738,0.0103668392171445,-0.00473822807653673,0,0.012863957823931,0,0.0434056507606882,-0.0240108614787893,0,0,0,0,0,0.0284883704218302
CVIX.Index,-0.0922279624858673,0,0,0.00671998735079895,0,-0.115872555155857,0.0737283007788868,0.0330445101893449,0.0131525950192003,0.0527882510672411,0.0343718279767314,-0.113003090061505,-0.0432730658118879,0.0984899806973591,0,0,0,0,0.0459227055778092
DXY.Curncy,0.0366698515262144,0,0,0.00380407760102634,-0.00363334373742691,0.0136274762039834,0,0,-0.0101762610315451,0,0.00180915240077979,0.000902851901374565,-0.0102683957888656,-0.0199900456257655,0,-0.0658008802656557,0,0,-0.0302483584623895
SPX.Index,0,0.00784215691259115,0.00659786123720149,0,0,0.00520945085446922,-0.0064164760239231,-0.00252450459560256,-0.0022298705539452,0,0,0.00493128157105538,-0.00389627503805165,0,0,0,0,0,-0.0637443712067577
VIX.Index,0.15086704834075,0.196426429425017,0,-0.227111534583941,0.149315710179618,0,-0.115553204493625,0.259412768228921,-0.115858299020055,0.146157939416154,0.0521084511598742,0.126195660558768,-0.439392301927226,0.0897033253742826,0,0,0,-1.78983110908243,0
