,BTC,XRP,ETH,XLM,EOS,BCH,LTC,BSV,TRX,ADA,XMR,BNB,MIOTA,XEM,DASH,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.164010743736604,0,-0.00918151110954087,0,0,0.114052065805777,0,0.201589812052656,0.130788346415723,0.065355003584723,0.114853632439665,0,0,0,0,0,0
XRP,0,0,0,0,0.0182759405941638,0.231632234588469,0,-0.0413231633514491,0,0.089131030067931,0,0,0.0596240506910836,0.0119689683050076,0,0,0,0,0,0.149164866449888
ETH,0,0.133892553146996,0,0.0587131086514993,0,0.113271842176909,0,0,0,0.0243941466400984,0.409809912844933,0.0779057609144144,0,0,0.117892327502054,0,0,0,0,0
XLM,0.410875429144582,0.261223211156289,0,0,0.074634329377701,0.126359845463495,0,-0.0276058922095303,0.114004691906309,0.0828832150118144,0.149739961240087,0,0.064711944919983,0,0,0,0,0,0,0.0316138314223246
EOS,0,0.253093717843778,0.236085027628704,0.251930044877223,0,0.0961426670422717,0.254619177015469,0,-0.400306018606209,0,0,0.049663244124781,0,-0.293903783349921,0.405513541073232,0,0,0,0,0.0483050875962572
BCH,0,0.34246981068827,1.13529010728978,0,0.591629381259927,0,0,0.107572440259708,0,0.2493987432858,0,0.144953214356083,0.079052683803239,0,-1.07367266502338,0,0,0,0,-0.274317435446864
LTC,0,0.143538464468541,0,0,0.172891473491949,0.0915056686214277,0,0.0112076811336839,0,0.0643642895484907,0.0936185061990591,0.118103335450617,0.207819069207983,0,0,0.267836539305228,-0.173901368366774,0,0,-0.0452801132690633
BSV,2.42907343374843,0,0,-4.39482387104935,0,1.37571323676161,-1.08173565816861,0,0,0,-0.86337152927662,0.492719892387996,0.417569067727872,0,1.92328889986589,0,0,0,0,-0.425924315821653
TRX,0.234829766239692,0,0,-0.0411490569381639,-0.037637930254193,-0.102260574476614,0,0.000936600403845269,0,0.329403922498744,0,0.35403752226403,0.231313782595715,0.0218693545948217,0,0,0,0,0,0
ADA,0,0,0,-8.67361737988404e-19,0.291608250526466,0.159434462021688,0,-0.0162253755719123,0.296529957273936,0,0.197808671153707,0,0,0,0.00861987488731283,0,0,0,0,0.0164904245203438
XMR,0.250025035859947,0,0.459058532854646,0,0,0,0,0,0.0740268780826352,0.117207442842793,0,0.0968558715089131,0.0433865751966852,0.02604430548104,0.0593859122247564,0,0,0,0,-0.0283821484794
BNB,0,0,0.366034657341302,0.135456880676918,0.372258592968133,0.0560218127002678,0.0958753072604091,-0.0185128695282143,0.0593593969077375,0,0,0,0,0,0.0454496409864876,0,-0.528477356964281,0,0,0
MIOTA,0,0,0,0.325642409986571,0,0.128197136573085,0,0.0679556893975631,0,0,0,0,0,0.355467704391414,0,0,0,0,0,0
XEM,0,0,0,0.287743794492539,0,0,0,-0.00333870090715572,0,0,0.169885339081028,0,0.135013230146912,0,0.29188417475285,0,0,0,0,0.0212152094940675
DASH,0,0,0,0.187818229025817,0.175623845775802,0,0,0.00481923213458707,0,0.305944069544748,0.209928887539687,0,0.100859294681057,0.275538632041798,0,0,0,0,0,0.0592911561248269
BV010082.Index,-0.125933370804206,-0.207795027403197,0.039830741491018,-0.0527163465624491,0,-0.0556145775412591,0.12709120988732,0.0147088294977813,-0.0857163158173606,0,0.0089987905986534,0.176285381266465,0.0240110863142683,0.0904519415938221,0,0,0,0,0.24384687800716,-0.0472428021075117
CVIX.Index,0,0,0,0.0590066448858323,0,0,-0.111368199824224,0.0403684987682059,-0.0206049302548956,0.097714446982112,-0.166628742300654,0,0.101117906182434,0.0635922025682969,0,-0.0972160196991811,0,0,0.606503715671458,0.175210299358863
DXY.Curncy,0.0280640215388498,0.0339198083867355,0.0368905862243606,-0.0734782118834551,0.0268074806937847,-0.0180242751450054,-0.0335649081260127,0.0115464633221914,0.00767557004668649,0.0337893292111749,0,0.00258539842985515,-0.00886896515542838,0,-0.0195150616787415,0.0593285074329175,0.0156756489817102,0,0.0611932276737785,0.0161666378342921
SPX.Index,0,0,0,0.0278194878527403,-0.036457142933877,-0.028329664120031,0.00835742850566063,0.016426431173704,0,0,-0.02572389796322,0,0.0199123606913783,0.0397465331101272,0,0.126386436560366,0,0,0,-0.132605703981311
VIX.Index,0,0.49963301961153,0,-0.0499881642966227,-0.600517565651951,0,0,0,0,0,0,0,0,0.00882420943689252,0,0.508179189550194,1.36127267913585,0,-3.94969097530895,0
