,BTC,XRP,LTC,DASH,XLM,DOGE,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.632200381567214,0.0193246479832697,0.0542239946967103,0.213286666027388,0.0438793893697598,-0.0559340904954922,-3.46944695195361e-18,0,-0.0607711772589614,0,0,0.00143297524954485
XRP,0.546794622942496,0,0.214787825896949,0.124230100365909,-0.232312443973962,0,-0.198785779478134,-0.119142579803638,0,0.417453672914386,0.209787413753986,-1.63650381876748,0,-0.255496021962283
LTC,0.794611648584971,0.180664828454505,0,-0.0214434826773466,0.0713359847121482,0.0456124753727676,-0.0310447975742772,0.0211343500195975,5.42101086242752e-20,-0.720090551564463,-0.289977753613782,0.401431324482208,0,0.244060633772245
DASH,0,0.347630764620337,0,0,-0.021145254531073,1.23802294024531,-0.130748210323708,-0.00130400244647122,-0.1930435499977,0.184603761420915,0.527530289452358,0,0,-1.0842021724855e-19
XLM,1.60033484748294,0,0.378614229957749,-0.158718098556251,0,-0.202992570689365,-0.442951174620586,-0.0505221302144563,-0.288168074516151,0.941853554345408,0.0903721828820195,0,-3.94540942318013,-0.66664874386539
DOGE,0,0.246783683636227,0.368939973679201,0.0702107135698414,0,0,0.0185978856299897,0.0311635227567232,-0.0320195094962237,0,0.0722916861563934,0,0,-0.0954301731556135
XMR,0.35757234810978,-0.144268716564565,0.300165415728984,-0.150318491163348,0,0.786543565811905,0,0.000148160315616838,0.101288724216263,1.76607971455892,-0.582332781996596,-2.50021394640608,-9.56033520543098,-1.49429432090239
XEM,-2.58210728146481,-0.677816998029397,2.73794156944293,0.203034638570584,0.0480358549162146,2.85242574369165,-0.377087054087638,0,0,1.47335910510232,-1.09075024908595,-4.23294658519735,0,-0.751747749319295
DGB,0.597009033737549,0,0.899427967823818,0.227064860459379,-0.472329907209862,-0.358577058268867,0.182840561846913,-0.0459264998190217,0,3.58631949108264,-0.139018567896564,-1.3483337475204,0,0.0847758929758655
BV010082.Index,0,0.0868188884776579,-0.343835841746783,-0.044042511714167,0,0,0.0836472314633907,0,0,0,0.143697306015658,0.380588795987143,0,0.118121480785665
CVIX.Index,0,0,-0.509148278289012,-0.0895927331093517,-0.0744905513434508,0.518299374384628,0.103761666584762,0.16903482871527,0.00529218425684838,-0.259597960601979,0,0,1.09234267998192,0.214871279754824
DXY.Curncy,0.145123838800632,0,-0.0904388579524704,-0.00370096467964915,-0.00435071632339031,-0.0402117169434599,-0.00312210780091236,-0.0190639816697657,-0.00520595888732802,0.22608231929804,0.113819941367447,0,0,-0.0260979583834352
SPX.Index,0,0.0070290959023065,0,-0.00454659605658148,0.0173585703667153,-0.0455802368853983,0.00549084869345719,0.00176798996410689,0,0,-0.00430121900421624,0,0,-0.102768541968291
VIX.Index,0,-0.033110785678912,0,-0.101713123409464,0.219581529751255,-0.423781900013059,0.0184319415856562,0.0526712933892756,0.0472566447534703,0,-0.0455553100989581,0,-9.25057577400726,0
