,BTC,XRP,ETH,BCH,EOS,XLM,BSV,LTC,TRX,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0.148982444239025,0,0,0,0,0.0925601714836179,0.215980806162317,0.168997129010393,0.0222037655250577,0.110594599391616,0,0,0,0,0
XRP,0,0,0.222931046279301,0.0629838987612343,0,0,-0.0320753343153012,0.361663412252,0,0,0,0,0,0.0507055127381702,0,0,0,0,0,0.162273462922772
ETH,0,0.196038670779529,0,0.0736921976816472,0.0134665715193828,0.0264455888236678,0.00527526058746346,0.0545693040640297,0,0.0497883259138279,0,0.368274203002841,0.115957093968923,0.0684750136782608,0,0,0,0,0,0
BCH,0,0.778053029427203,0.994292510972914,0,0.098599376261554,0,0.180033958920057,0,0,0.533704950227218,0,-1.03221404858403,0.359813996920946,-0.384603788665894,0,0,0,0,0,-0.17031036610355
EOS,0,0.295427270180244,0.42620119793707,-0.0526221796846098,0,0.592558352781067,0,0.0346240728469315,-0.47534420721202,0,0,0,0.0243101114239461,0.235213415240053,-0.145607760610005,0,0,0,0,0.0513481823277222
XLM,0.608549614464166,0.155243778857897,0,0,0.0426897711269334,0,-0.00211584730063587,0,0,0.119153000880851,0.0765905054323732,0.111090946177033,0.0247129084394353,0,0.0417336502045672,0,0,0,0,0
BSV,0.0526914794779149,-0.66363018625731,0,1.10432095959732,0.392931551800538,-3.90704261112076,0,0,0.284316930209093,0.386114186021708,0.373323440099171,0,1.11857438734158,0.527194637543638,0,0,0,0,0,8.67361737988404e-19
LTC,0.105898194794929,0,0,0,0.12126175749208,0,0.0242604916037288,0,0,0.0948002044758208,0,0.263054152626295,0.221696030617235,0,0,0,0,0,0,0
TRX,0.0230221402688036,0,0,0,0,0,0.0176009271436007,0,0,0.523485583165001,0.050536254589873,0,0.249937403860852,0,0.0575290334534865,0,0,0,0,0
ADA,0,0,0,0.0857163599676962,0.350728524593253,0,-0.0117307854513772,0,0.398952635305846,0,0.11624012589178,0.0212845052820192,0.00763951413624382,0,0,0,0,0,0,-0.00346826280454301
MIOTA,0,0,0,0,0.122215900514667,0.346799148127775,0.0487509983705802,0,0,0,0,0,0.160385830814821,0,0.379465682106791,0,0.210769469948415,0,0,0
XMR,0.270402477740005,0,0.226211757925141,0,0,0.113254257329447,0,0.108070542560355,0.0600722046851016,0,-6.93889390390723e-18,0,0,0.362064727953878,0,0,0,0,0,-0.0778678514512049
BNB,0,-0.242745953733415,0,0.00546737611509171,0.275371636758035,0.640292690841475,-8.470329472543e-22,0,0.0997853957196151,0,-0.28773592465024,0.214444702138619,0,0.00673219982727879,0.358431059574942,0,-0.607916206757208,0,0,0.126045068297531
DASH,0,0,0,-0.080276591711246,0.0282082124962083,0.261117485790456,-0.0076072437280043,0.214510813677525,-0.220405649884096,0,0.196930254649572,0.482315629224417,0.193683054009753,0,0,0,0,0,0,0
XEM,0,0,0,0.151721368137509,-0.0277251787903643,0.367084559110893,0,0,0,0.195139759259206,0,0,0,0,0,0.216672229533102,0,0,0,0
BV010082.Index,0,-0.210680029884284,0,-0.0151289053116402,0.0362204868839004,-0.0482789046699995,-3.46944695195361e-18,0.012584176447847,-0.0322088590026917,0,0,0,0.111813625725604,0,0.104935844949293,0,0,0,0.158001382389108,-0.0513275782864686
CVIX.Index,0,-0.308137719904168,0,-0.00302737130888086,-0.0462046751409576,0.0603006754765588,0.0366286516648512,0,0,0.154606220703215,0.13766796988744,-0.159007018306985,0,0.0265268002616889,0.129713888023298,-0.55263551542278,0,0,0,0.0438056567886724
DXY.Curncy,0.0323382707750881,0.0365641936199877,0,0,-0.0130635549134505,-0.0295199205449524,0.00900140115042923,0,-0.0229403252568581,0,-0.000265629027339267,0,0,0.00965271272983865,-0.0165541542855229,0.0828687679524231,0,0,0,0.0104295985852587
SPX.Index,-0.0482970848532477,0,-0.0298356921883519,-0.0130122007000705,-0.00878533512087838,0,0.0172311256687379,0,0,0,0,0,-0.0046507378864543,0,0.0542196520307718,0,0,0,0,-0.125013846857004
VIX.Index,-0.596649660203377,0.249100760709533,-0.270571771529062,0,0,0,0,0,0.385994674417237,0,0.212962318620124,-0.288193278944971,0,0,0.281728235021169,0,1.01200618994206,0,-4.08207927219928,0
