,BTC,ETH,XRP,BCH,LTC,BSV,EOS,BNB,XTZ,LEO,XLM,LINK,ADA,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0167386524854806,0,4.33680868994202e-19,0.212652364386248,0.210857042908016,0.0466505896928816,0,0,0.111935516565749,0.221739334623302,0,0,0,0,0,0
ETH,0,0,0.167589399229148,0.163853689343624,0.231470915600529,0,0.0433749125167647,0.0653814452869143,0.168691924828876,0,0,0.0966738879086874,0,0.0985475505779151,0,-0.00882158043972285,0,0,0.0222725953357472
XRP,0,0.10870699076588,0,0.110189787904342,0.216061413088042,0,0.0538117666806069,0.0524379150578187,0.107279017006885,0,0,0,0,0.0759803452158858,0,0,0,0,0.0098930497477168
BCH,0.213622294653794,0,0,0,0.243177176490526,0.232889512936643,0,0.221704663580187,0,0,0,0.0363694124207277,0.0225986695729912,0.0895600198311785,0,0,0,0,0.0594152210809291
LTC,0,0.163813370118234,0.00506799429567425,0.0505669294039042,0,0.0267382145941254,0.339969370479579,0,-0.0163317265010426,0,0,0,0.251981895110294,0.179347143062421,0,0,0,0,0
BSV,0,0.98596338199867,0,1.25032731711181,0,0,0.68757293705994,-1.59741292769654,0,0,-1.32539469539743,0.503108011667844,0,0,0,0.219479359474516,0,0,0
EOS,0.140310944876489,0.0417659486782442,0.24134804906061,0,0.424159052490821,0.0963966284253873,0,0,-0.186359161159217,0.074322434859857,0,-0.053017782564432,0.0244243591838499,0.335726914696035,-0.203470916311915,0,0,0,-0.0562735565021501
BNB,0.219279665962134,0.267177642101365,-0.0272029716555674,0.275284880798317,0.16383706007303,-0.0448857044032204,0,0,0.100494182001326,0,0,0.00852080345244062,0,0,-0.211902876600488,-0.0391738833846349,0,0.0727024619170391,-8.67361737988404e-19
XTZ,0.473750003518188,0.0966447164069411,0,0,0,-0.0196639599803784,0,0,0,0,0,0.379233421132431,0,0.116949085574118,0,0,0,0,-0.0237964905529316
LEO,-0.736293727130638,0.180168353407165,0,0.161607340131326,-0.173427065703216,-0.0772391599428259,-0.0702815025392694,0.279029754287998,-0.139234666851698,0,-0.21639248012692,0.20314860182463,0.608583909965923,-0.245206653987498,-0.1111283456541,-0.0334061613662999,0,-0.134281837798437,-0.0448602865859786
XLM,0,0,0.390081640560918,0.199862948607794,-0.0953657871434098,0,0,0.132586395345975,0,0,0,0.0490995699455437,0,0.102188480333358,0,0,0,0,-0.0193979600871218
LINK,0.652591477597245,0.00802560733674535,0,0.0882076952422024,0,0.0171493510421761,0,0,0.279484234888362,0,0,0,0.0748648852588009,0,-0.113310665593757,0,0,0,-0.0251260275309491
ADA,0,0.140489489325708,0,0.0092592825577462,0.283806572837622,0,0,0.163881670562136,0.117804079530829,0,0,0,0,0.199774417207398,0,0,0,0,0
TRX,0,0.0641104293745241,0.283826698677565,0.0352653012788141,0.151540514116651,0.0226301198901692,0.0975590152091204,0,0.0584859409496664,0,0,0,0.327722935772362,0,0,0,0,0,0
BV010082.Index,0,1.24825807893573,-0.505566192701447,0,-0.222508946111039,0.0816539843063723,-0.419417970868435,-1.31696829834493,-0.86763461880375,0,0.851851308477419,0.611080439324694,0,0.397264858679802,0,0.206053498540865,2.99020344090466,0,-0.0985212971927504
CVIX.Index,-0.490128773920552,-0.140139393226604,0,-0.328480796901203,0,0.112247021328155,-0.102276783902036,-0.128560534335786,-0.223226572480175,-0.239722140991784,0,0.477015093659492,0.899166986241876,0,0.348910301294125,0,0,-1.57301313336567,0
DXY.Curncy,0,0,-0.0468801125910237,0.00560549239758433,-0.0133053312482362,0.00236656107268184,0,0,0,0,0.0324170822369353,-0.0140338916773214,0,0.0217278136591399,0.0503038948507541,-0.0232369686822068,0,0,0
SPX.Index,0,0,-0.0540320346520231,0,0.0349887875890583,0.00123217439362054,0.0110504845640074,0.0144214033732752,-0.0440994184132984,0,0,0,0.0661765386740606,0,0.0784721967020555,-0.155849774799227,0,0,-0.123311423380954
VIX.Index,0,0.190935300714967,0,-0.376539845772086,0,0.147413980699638,0,0.275167316411764,0.128917610573092,0,-0.483494030646029,0,0,0,-0.120093201294256,0.0400821359413344,0,-3.46986149966305,0
