,BTC,ETH,XRP,BCH,XLM,EOS,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,NEO,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0133510485956879,-0.0143404227222983,-0.00329522919992116,-0.00818374504229683,0.228109002809955,0,0,0,0.0419889868189487,0.0223848015932284,0,0.0676149910468976,0,0.00991530981550067,0,0,0,0,0.000713426985159434
ETH,0,0,-0.0389397960248985,-0.00260980968910614,0,0.336984219413988,0,0.174974013696765,0.2649461676056,0.0649707399251796,0,0.152310877797249,0,0.168681586102176,0,0,0,0,0,0
XRP,0,0,0,0,0,1.1431991316357,0,0.292498755275897,-0.167403519212017,0,0.370246198129391,0.118302832938458,-0.644319024758374,0,0,0,0.833566827601932,0,0,0
BCH,0,0.208293480220468,0.0394916232355659,0,0,0.439579852925797,0.202041312121915,0,0,0.153726606687319,0.0404160636931914,0,0,0,0,0,0,0,0,0.071982586805499
XLM,0,0.130969467049228,0.150804277547829,0.0045044563960513,0,0,0,0.123750132357719,0,0.0428396852444091,0,0,0,0.380226095992967,-0.00259624480402857,0,0,0,0,0.00792260336198519
EOS,0.0386238382310549,0.400532071551764,-0.0681377794406296,0.0464658887207322,0.00534509851156551,0,0,-1.73472347597681e-18,0,0.0737366967028128,0,0,0,0.387814897387431,0.107415137079095,0,0,0,0,-0.0101719418113347
LTC,0,0.219429138343266,-0.0160997922318575,0.153005761368067,0.0462420433110931,0,0,0,0,0.0785195965485978,0.0821539612747155,0.143499489052819,0,0.186925346500814,1.73472347597681e-18,0,0,0,0,0.0123798647630542
ADA,0,0,0,0.103331005989101,0.525557191470566,0.0766356760051593,0.213139064380865,0,0.0175783522057284,0.131399154340837,0,0,0,0.0374649685834946,0,0,0,0,0,0.0316012015019555
XMR,0,0.117768449399431,0,0,0,0.0160019899192296,0.0857784944820943,-0.15048476260934,0,0.0326618340883252,0.0176149587746573,0,0,0.634243418480687,0.105856458608865,0,0,0,0,0.0482841784659466
TRX,0,0,0,0,0,0,0,0.559152155305978,0,0,0,0,0.460814892721615,0,0,0,0,0,0,-0.0591995858890318
MIOTA,0,0,0.0689186933887477,0.0500513355844491,0.0196309749885433,0,0.22626583928099,0,0,0,0,0,0,0.507644261880116,0.0744228234852075,0,0,0,0,-0.0753697065087931
DASH,0,0.313444363360385,0,0,0,0,0,0.176121306011677,0,0.056297748198458,0.0256861455267639,0,0.0371840625532145,-0.043449210785,0.0691410716483842,0,0,0,0,0.000469230496246417
BNB,0,0.197744943658279,0.0249016871351619,0,-0.106675756161305,0,0.397703155120216,0,0,3.46944695195361e-18,0,0,0,0,0.0402838450046957,0,0,0,0,-0.0438615811537337
NEO,0,0,-0.0623494163331038,0.0998016797843058,0,0,0,0.524901019260312,0.0267979404523738,0,0.0792024762285681,0,0,0,0.0481882122107549,0,0,0,0,-0.0560186144329649
XEM,0,0,0,0.139675131322913,0.370102810380702,0,0,0.0566837879070689,0,0.168418260205336,0,0,0,0,0,0,0,0,0,0.0094248675272482
BV010082.Index,0,0,0.0718718376769955,-0.0536965632655942,0,0,0,0,0.033165320564483,0,-0.0795589735542042,-0.00640278437637328,0.10967381417254,-0.151509248795371,0.0374795812480758,0,0,0,0.703409783662894,-0.00482346146801003
CVIX.Index,0,0,0.0780590175751243,-0.190884065593653,-0.278437482217398,1.73472347597681e-18,-0.329916327950382,0,0,0.0420089412914723,0.196054600989484,0,0.200587220962635,0.433835313321148,-0.00670371119303572,-0.322938164399724,0,0,0,0.0431668998014519
DXY.Curncy,0,0,-0.00184229245536023,-0.0262510590119495,-0.0434955533005347,0.0593964980675027,0,0,0,-0.018973398866771,0,0.00445106533434885,0.0146774795922013,0,0,0.10773511958529,0.0935485889275871,0,0,0.00270700838434593
SPX.Index,0,-0.0274614161195622,-0.056915419874127,0,0,0,-0.0264019311777981,0.0188511052571515,0,-4.33680868994202e-19,0.0907798596251691,0,0,0,0.0221594961820105,0.0458170624242129,0.0192414168118182,0,0,-0.125872482364297
VIX.Index,0,0,-0.0854836462453255,0.577456741864301,0,-0.696626080892758,0,0.413780327453557,0,0.192901540156758,0.805879739026071,-0.395527390460887,0.436880030517407,-1.69613982017601,0.283223702014818,1.28351457703955,0.763319941144048,0,-5.13504217343202,0
