,BTC,XRP,LTC,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.243292030241169,0.00735726989625666,0.192587928793382,0.05965374086806,0.0291470853292239,0.258400854630952,0.17713901260199,0.134839113975245,0,-0.181851146832271,0,0,0
XRP,-0.184568297916441,0,-0.010455888399764,0.0426551113488136,0.174833675583731,0.361733627086706,-0.170325646705985,0.188552394411991,-0.0128986159309806,0.567474770165027,0,0,-1.51536507896501,-0.0876165447452495
LTC,2.45539706063408,0.808481707037445,0,-1.74146976597607,1.10637454204769,0,-0.28657794714455,-0.378042281214531,0.0653482347814685,0,2.15285586460751,0,0.573346747432631,0
DASH,0.635189779233842,0.182891416162322,0.0104843005067982,0,0.223616257023488,0.160517878296935,-0.0322993142223873,-0.196386054906715,0.138307862277373,0,0.823208388560789,0,0,-0.0611074451985303
DOGE,0.256945336861106,0.221272339793809,0.12990884797358,0,0,0.188842847381684,0.0372323759413079,-0.0389815955820194,0.0558347636582566,0,0,0,0,-0.120069180443313
XLM,0.542627076754278,0,-0.0803848521622873,0,0.221839005955082,0,0.0346054014645482,-0.129783789413404,-0.0146576374112701,-0.513990675577387,0,0,0,-0.134155024674414
XMR,1.15151910096479,0,0.0132005367813574,0.0994702177349485,0,0.382096925675725,0,0,-0.12904335738759,0,0,0,0,0.0815879302162495
XEM,0.556390852368876,0.399813749544461,0,0,0,0,0,0,0.121128733147533,0,0,0,0,-0.0106018983521767
DGB,0.113323454201276,0.188379182166855,0.0441316119255097,0.115399052226396,0,0.376435749532306,0.304822339930645,-0.166457024552562,0,0,0,0,0,-0.0745722463911748
BV010082.Index,-0.0244626891532254,0.113991675719531,0.0155824052284921,-0.0466880024255916,0.0558157560447026,0,-0.070321447751387,-0.0561751815548523,0.082894136770515,0,0.232614636840676,0.453196661355722,0,-0.0477743918564252
CVIX.Index,-0.224209430797626,-0.319733262212167,0.0562517537400471,0,0.0593115312769564,-0.107968141396996,0,0.0670155444672942,0.165448832901283,0,0,-0.0606371464880485,-0.546992832599238,0
DXY.Curncy,-0.127523398065529,0.036469266216867,0.0398955225098941,0.133350805418331,-0.0931473281355792,-0.00770890270520837,0.0390690231629894,0.019859050653002,-0.0310720560597234,0,0,0,0,-0.0401204678344565
SPX.Index,0,-0.0131539179891072,0.0228335394117551,-0.0584666850127074,0,-0.0818578930240993,-0.00874588408857987,0,0.0175329769590912,0,0,0,0,-0.0794200479359563
VIX.Index,0,-0.555212690388475,0.0889502075809281,-0.0243281991366206,-0.0380866938152115,0,-0.102859640666731,-0.152113611573016,0,-1.70470687185988,1.10304996433012,-3.34290428005406,-4.38449260211357,0
