,BTC,ETH,LTC,XRP,DASH,DOGE,XEM,XMR,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0445572531519973,0.273937488869256,0.300541049419967,0.137749365459537,0.0757162023640954,-0.105920418804324,-0.0212328925797308,-0.168716006574055,0.0102671994547619,-0.275349754937381,-0.0245793574701822,0,0,0
ETH,-1.7960242048099,0,-0.0357229282458541,0.260849491035521,-0.220999478087797,-0.956479273169704,-0.542076623849452,0.278740797856661,0,0.191873325303093,0,-0.325698107770286,0,0,0
LTC,0.654928272750843,0,0,0,-0.278764871576212,0,0,0,-0.0507864090713701,-0.0148402390004252,0.0743422138421686,0,0,0,0
XRP,0.060940315852289,0.108775660993553,0.118453409095771,0,0,0.015880462516356,0,-0.186586835351661,0.550385053638522,-0.112447068295519,0,0.283054706218859,0,0,-0.0325865517657596
DASH,0.328662391321099,-0.0974056781457647,0,-0.657468330789871,0,0,0.174377399461557,0.190792447445953,0.519990204868081,0.105853076737323,-0.0232981537679637,-0.475470014459051,0,-0.410055428601379,0.125280321633124
DOGE,0.392820196981632,-1.73472347597681e-18,-0.0601908780124795,0.114010866399949,-0.211959432676818,0,-0.122723976513921,0.0211815532909231,0.0970010207824048,0.0833715282935773,-0.0284200121041871,-0.274619467672459,0,0,0.0625971424514838
XEM,0.217842784764103,-0.165032323619802,0,0.888207823326881,0.887402653715064,-0.29516722711281,0,0.417872452433925,-0.245460296440462,0.108274622654495,0.56332325345938,-0.468306302315511,0,0,0.423500602253388
XMR,0.758553862284322,0.603692906377024,0,-0.483311835286382,-0.289841062126732,-0.119127101385215,-0.166959728144512,0,0.815671454546802,-0.113524268146425,-0.327580387995634,0.183870834266603,0,0,-0.16767706259574
XLM,0,0,0,0.454524215778836,0.184875111525246,0.372622980648615,0,0.0851975597668206,0,0,0,0.162811180949026,0,0,-0.039640010945761
DGB,-0.680526089463994,0.157083003323447,0,-0.572863311319433,0.345028454787124,-0.466985149673607,0.26042818112687,0.366561860265865,0,0,0,0,0,0,0
BV010082.Index,-0.0717191473218791,0.134174771432115,0.0372458714824745,0,-0.077816330044603,0.165189273334977,-0.0949607272189624,-0.0928784176145417,0,-0.0608123755637622,0,0,1.4232585303954,0,-0.0550978159214058
CVIX.Index,0.138727342954434,0.0662880339444167,-0.261519902547879,0.042361139368132,-0.2593618411562,0,0.0443379563140327,-0.0167689657614742,0.315600836240354,0.0467698974177447,-0.0524351385333809,0,0.379192083300953,0,0.102643757531989
DXY.Curncy,0,0,0.0573912928764446,0.0761080764580362,0,0,0.010118815162703,0,0,0.0187192194317528,0.156662634677777,0,0,0,0
SPX.Index,0,-0.0128820729583413,-0.0266841526276765,0.017666855981388,0.0152881115406125,-0.0201386517979421,0.0202116483998192,-0.0230672654989079,-8.67361737988404e-19,0.0105283498915422,0.0258571356625327,-0.0229870878262452,0,0,-0.0796415951716514
VIX.Index,-0.0733813857762148,0.228843987186885,0,1.73472347597681e-18,0,0.451179951154759,-0.114139783226888,-0.36608421319531,0.114203947746665,-0.0202619131313925,-0.699601263977012,0.628529351063376,0,-2.99409718860033,0
