,BTC,ETH,XRP,BCH,ADA,XEM,LTC,XLM,MIOTA,DASH,EOS,NEO,TRX,XMR,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0600166602850615,0.100650992016955,-0.13616400511517,0,-0.0336229427925507,0,0.0642217984369645,0.0788458782235763,0.0478182149695499,0.127217666309587,0.114454884263207,-0.0543172287205938,0.247385064747058,0,0,0,0,0,-0.0507982259307098
ETH,-0.250731233801792,0,-0.0132671333179327,0,0.0177032238456821,0.00866975707283748,0.168219040299838,0,0.0589666730743832,0.0515321350919104,0.088358818952488,0.183454120475518,0.102720461701742,0,0.0783409789535812,0,0,0,0,0.0179641522290369
XRP,0,0,0,0,0,0.111237933856093,0,0.318374437082519,0,0.200111037834472,0.348651145802007,0,0.0187367820079364,0,0.121204411413319,0,0,0,0,0
BCH,0,0,-0.0909587566841272,0,-0.0505535622236023,0,0,0.043518976480042,0,0.168707613698962,0.0714135649477356,0.263603791099023,0.0186326615004358,0.0601768047174905,0.217428195803093,0,0,0,0,-0.129980560319349
ADA,0,0.101019123250025,0.187060146170749,0,0,0.125583737606495,0.0620949547670349,0.206580146568654,-2.71050543121376e-20,0,0,0.121767795270836,0.0628431722949103,-3.46944695195361e-18,0.0736041221650555,0,0,0,0,0
XEM,0,0,0.260788994008316,0.0939035680383747,0.0593043830571881,0,-0.0491712510272876,0,0.156417505446456,0.132630493850448,0.10763167111079,0.106421813978127,-0.0169580322291641,0,4.33939377651286e-05,0,0,0,0,0
LTC,0.151508892312605,0.139172369070258,-0.00537264280353332,-0.0363040350348755,0,0,0,0,0.146260609827516,0,0.100105890464082,0,0.0237981867802904,0,0,0,0,0,0,0
XLM,0.0763404705096979,0.0228219243163687,0.13994725594206,0,0.37184651779517,0,0.169529345417916,0,0.0247008650340888,-0.117768424017653,0.0476611911927248,0.0275968186674771,-0.213943126748963,0.163491694139833,0.0161581783245203,0,0,0,0,0
MIOTA,0.220316148355714,0,-0.195751616646447,0,0,0,0,0.275944510039521,0,0.113374071509201,0.403958623746831,0.0458629962106491,-0.112546979984441,0.24022874582239,0.0534194361080201,0,0,0,0,0
DASH,-0.0395864889998538,0,0.0624518600272955,0.108187544701744,0.0149887210107535,0,0.262620788682026,0,0.0173564914371792,0,0.118283290429065,0,-0.041634811394351,0.146145818852804,0.0316257640266156,0,0,0,0,0
EOS,0,0.0383783678572348,0,0.0311979465011964,-0.0462319615486223,0.0976753011546402,0.206435552654138,0.286523123045562,0,0.0175451112474287,0,0,0.130959135314766,0,0.228320540293716,0,0,0,0,0
NEO,0.0187382888881106,0.708860709066029,0,0,0.0165729866860248,8.67361737988404e-19,0,0.174286981318652,-0.0761669629882632,0.105843510457969,0.0391365285762272,0,0.0475014452976886,0,-0.100070645168126,0,0,0,0,0
TRX,1.06271809906985,0,0,0.300970876430189,0.371933974617901,-0.694087706819059,0,0,1.38777878078145e-17,0,0.0511759308456994,0,0,0,0,0,0,0,0,0
XMR,0.136241726932398,0,0,0.0278539558365294,0,-0.0183462096314102,0.139016364730043,0.0929284941018113,0.0708148074110782,0.0360185552234325,0,0.306550383716282,0.0698745538942655,0,0.175504904682617,0,0,0,0,0
BTG,0,0,0.162741180394555,1.24941488199477,0,-8.67361737988404e-19,0.463811614554457,0,0.186237179822675,-0.60245559056027,-0.628917477744405,0,0.0736757511208701,0,0,0,0,0,0,0
BV010082.Index,-0.0448920046406179,0.034840713874361,-0.0126015565315897,-0.0445011096650249,-0.0036021416237733,0.00133525454279835,0.00533942441143984,0.00103190988721323,0.0118373627537878,0.0117224360624635,0.00685866789074964,0.00533446715562898,0,0.0297998799050309,0,0,0,0,0,-0.0567901939469915
CVIX.Index,0,0,0.0201522961442149,-8.67361737988404e-19,0,0.0241737952382984,-0.0692199576190101,0.019842876519324,0,0,0,-0.0573776717578069,-0.0159194538798358,0,0,0,0,0,0,0
DXY.Curncy,-0.011989203646509,0,-0.00237619498033733,0,0,0,0.00131817593331351,0,0,0,0.00210730988060936,-0.0117813252233732,0.0104076029979841,0.0186165184010623,-0.00826336817016929,0,0,0,0,0
SPX.Index,0,0.0129013427611902,0.00236330153976893,0.00197107444715384,0.00216231275868733,0.00184206574493694,0,-0.00270884692959891,0.00164138002538395,0,0,0,-0.000493246377767973,0,0,0,0,0,0,-0.0232875188659015
VIX.Index,0.33000917879689,0.0559031194746578,0.0674663264428666,-0.0642413373372534,0.033644069335265,-0.0389773489334403,0.0438500854575529,-0.129616484970484,0.0436575711756167,0,0.263824754804282,-0.171842701567892,-0.12942080777744,-0.109506055862825,-0.0205756940509015,0,0,0,0,0
