,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160
1,0.0004705507634586,0.00176229904344757,0.0586608415434036,0.0595301226478086,0.0418213054887598,0.0331335964011168,-0.0334412423925121,-0.0230240359792924,-0.0493335601940064,0.0134322842824115,0.0265655569226029,0.0485007110146244,0.0596127472038053,-0.00502515961090136,0.0135781030279299,-0.0408183855758009,-0.0166447208218632,0.00704425911376432,-0.00111842769063168,0.0940945330219099,0.0726485279017907,0.102362630249835,0.0379267229478222,0.0209826063635164,-0.000507233351154799,-0.0554662952278441,0.063033070883575,0.0428291019776421,0.059333129584082,0.0108324223179245,-0.0392916427376452,-0.0689461444249238,-0.0795737082475481,0.0366644982597706,-0.00715639438633324,0.0751006130552475,0.0655317729491214,0.0254262875406994,0.0397794149213276,-0.0137213746139256,0.0405218103914037,-0.0259299114821165,0.00740486050623215,0.037794683402603,0.0341776654065878,0.0164350370574238,-0.0185943367970518,0.0127366230623366,-0.0934844433602975,-0.0464665502482213,-0.020598798694216,-0.0527566789044504,0.014186996742292,-0.0596965645361067,-0.0694747714751991,-0.164708944352485,-0.148200107237695,-0.107755189577671,-0.0839216428679177,-0.00448671780875825,-0.0632918753730902,-0.0762617590406239,-0.137507934921619,-0.135549214170285,-0.117745493444731,-0.164744344019304,-0.0711871981549866,-0.0801888170788235,-0.0332876141871823,-0.0329482290332476,-0.0504679331105523,-0.065715662421924,-0.120097454282941,-0.086611649263041,-0.134157636426735,-0.0589239986235474,-0.0532618761927969,-0.0502596411065135,-0.0721335287621069,-0.164508709551767,-0.121648520019235,-0.149422226877815,-0.0616582982350324,0.0104293645504177,0.00616552818075508,-0.0151070481289446,-0.122429421595957,-0.0764165721353536,-0.122639886505973,-0.0401873885127578,-0.0290866929349979,-0.0728985564225113,-0.0269390180048801,-0.0724093555003279,-0.0786450579972707,-0.078138271363638,-0.0477208685015733,-0.0768416135497756,-0.104098370734035,-0.0218676210477744,-0.106137688261943,-0.0340060127920587,-0.0735985923798898,-0.0959285228632482,-0.0977490115186803,-0.145576270022094,-0.0390870925958019,-0.032438786130332,0.0121951952875169,-0.0586880136211996,-0.0955612443849995,-0.138821578428156,-0.115059655170412,-0.017697258886644,-0.0566818835435379,0.0127482819065256,-0.0140498902526353,-0.0553958857166084,-0.0415222297461265,-0.0951230098850856,-0.0520662935697717,-0.0700133454022161,-0.0192991766746366,-0.0134683093353656,-0.00573120979411608,0.0464077810259371,-0.0184904531311656,-0.00976023704416005,-0.109649944798859,-0.0279468712782045,-0.0083403753548082,0.0101069318811142,0.114545913581637,0.011186148490011,-0.0112334144736576,-0.0651672396980747,-0.0590565413792127,-0.00647997707258918,0.0214254142567634,0.0805819441133798,0.0167500659931486,0.0266738799452865,-0.0368522060011628,-0.00299725871765209,0.00734190241953131,-0.0258832334098882,0.0427271586505277,-0.0256075082200758,0.0383054912952774,0.035875892673449,0.0322799419827105,0.0126915095487959,-0.0855705764094435,-0.0181452191076461,-0.0625567626971538,0.0313314051767047,0.0382593538109092,0.0215513422897043,0.00320642360529673,-0.0778397848958439
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-0.00218731766536025,0.0386466055795461,-0.0215583138244676,-0.0097908390389904,0.0393534926104326,-0.0229667823017772,-0.086054073500097,-0.0635073124363127,-0.0400340740896364,0.0567613937901665,0.0433654693943746,0.0321136313410992,-0.00858945439789153,-0.0283741714620595,0.0539813168719115,0.0271477622235637,0.0336152195073141,0.0187972937273589,0.0127898156811548,0.0284705891740956,-0.00024015608998205,0.0440720708198199,-0.00348872855906019,-0.0426025454726478,-0.0448896701059964,-0.0800863662356108,0.0247867674912439,-0.00384231112492361,0.0189725310711545,-0.0667048961017664,-0.109857195478626,-0.0683604282831502,-0.0326177205148612,0.0351078425654526,0.0262939372073856,0.126771773628012,0.121874010650864,0.105802684691994,0.0584346142835125,0.00297370505802512,0.0460687400747556,0.00566831650344209,0.0592427827455607,0.0442753350683472,0.0313892563286938,0.0258561173081917,0.00685276305266658,0.0275662956485698,-0.0474278805263528,0.0227166547345416,-0.0183215240643864,-0.0180223166318704,-0.0127347837360522,-0.0558990147714209,0.00213137394880836,0.00340714517217737,0.0505395468683952,0.0419877679818934,0.0476540350496446,-0.0033453792451209,0.0293530673449513,0.0291588388590887,-0.0590563369137953,-0.0917529893945746,0.00829895229949006,0.00941652957875465,-0.0623179488472413,-0.106880935733808,-0.0729884602635422,-0.0863948744020657,-0.0602447791843303,-0.0792098551892914,-0.139991389505458,-0.134338638525932,-0.159127654643648,-0.0799348359695859,-0.130769650522605,-0.1364373076799,-0.169105599991028,-0.241698632304615,-0.17850927517938,-0.164105275972905,-0.0660835476710765,-0.0806904702796533,-0.0723119639667368,-0.0878343762775276,-0.13595846418033,-0.124077810422179,-0.172303509878009,-0.098323547874087,-0.104655038919855,-0.100946593643129,-0.0640377471011402,-0.0609789573046879,-0.0755304736034474,-0.141720194885554,-0.166541088616828,-0.1820345718765,-0.214783723772365,-0.18228100326765,-0.23475403265103,-0.189052034916643,-0.278900062752641,-0.250987149375406,-0.249772703059745,-0.288980025604027,-0.220550874116381,-0.242407730900936,-0.245797557110904,-0.263562901434452,-0.270414541529888,-0.257861852144418,-0.255390664966217,-0.203135706592147,-0.236238497454037,-0.172809769217947,-0.256556039194963,-0.284605522045781,-0.229171342719481,-0.280194139805949,-0.228059825901169,-0.203666791777854,-0.144416952538382,-0.154316166466125,-0.15469731009248,-0.120938824605146,-0.181453084292803,-0.182631089713474,-0.251492093466953,-0.162895991997541,-0.162772810518375,-0.118655897252272,-0.0870446904194595,-0.182332967321663,-0.199553271947167,-0.20973090383819,-0.204855952951571,-0.181849231730169,-0.15944679388683,-0.0349457894079971,-0.0105620182465332,0.0243914682326455,-0.0680713271950365,-0.0163778244997297,-0.0662149331345555,-0.0331616906373838,0.049774593064464,-0.0112318620297992,0.0621574276216719,0.0985582840137878,0.0572293510334867,-0.00140235490453678,-0.0165944800629677,0.0496408681929699,0.032249198794414,0.0367664016116222,-0.0289271420827857,0.0300865263818082,0.0357718326761109,0.0196754648979633
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.00504929654579472,-0.0966689317120862,-0.0442535702084007,-0.0176998081253686,0.048888997769228,0.0784119742545648,0.0679189337872298,-0.0195600433591829,-0.0300333443435413,-0.0110222571696389,0.0379769664455303,-0.0136086686554021,-0.00655134174017314,-0.0796798683946982,-0.0907387977510679,-0.0129267106381945,-0.00763052562763729,0.0320314386270192,0.000106157054785256,0.106891153033221,0.0754149689215572,0.1792881566165,0.0738152312430039,-0.00857340841229912,0.00977917555244422,-0.0916417960156268,0.0999644233574326,0.038951499657758,0.0849940227884496,0.0543098743013664,-0.0906072005689555,-0.116174187083256,-0.125311962897906,-0.088757294424168,-0.108030523545735,0.0321681981375331,0.0208433252638806,-0.0137415223523185,0.0731662163735613,-0.00225003424014262,0.0904864590313696,-0.00703256683274296,-0.00246984076487665,0.0130771751024597,0.028934060848051,0.0377476685531559,-0.0609628221028403,-0.0627360344107993,-0.232552507554606,-0.16283057633214,-0.0824022731391307,-0.0523673422602741,0.0181634165705807,-0.114080853375426,-0.166804847211554,-0.20328559540586,-0.248938993509794,-0.193193792965226,-0.195131775416103,-0.180372534002087,-0.222833141123791,-0.179553293086998,-0.199032944943681,-0.251130522193894,-0.234157149724313,-0.301592821710563,-0.246100275561876,-0.210597676091083,-0.184178031664019,-0.197599054647827,-0.298904422252506,-0.265766568564233,-0.311821343123429,-0.254742083325739,-0.285112687123987,-0.22770222475213,-0.181925198595259,-0.254352791198205,-0.298394833299228,-0.418536424799311,-0.426108877909815,-0.431196499937903,-0.344510955002565,-0.147595612945255,-0.127358137191058,-0.120620280693655,-0.276985482165147,-0.262299725340062,-0.36544907352769,-0.285006037319622,-0.272552729185537,-0.391483226524096,-0.340132251277038,-0.412092421493706,-0.461703322093504,-0.366331877760187,-0.431561794875156,-0.589667377286743,-0.533806224408083,-0.394582267952194,-0.507600926618065,-0.389074932197158,-0.476704818958918,-0.526419067204132,-0.475241923613063,-0.546091860365371,-0.422299960461027,-0.381673935087203,-0.289345742868834,-0.332145023696884,-0.414896275850939,-0.504110102515939,-0.479712405488327,-0.409711245921626,-0.447923490861243,-0.3897642522864,-0.447941271106478,-0.43304423621065,-0.319572424237297,-0.369803748471717,-0.336745617033393,-0.162771793660346,-0.181904417373332,-0.119530483080686,-0.131412985279742,-0.105325821531446,-0.253853528630018,-0.303423027526254,-0.329552077770825,-0.244185113998498,-0.180972693119397,-0.138611632055379,0.0391678660416906,-0.0895503768399929,-0.0923701584106019,-0.128406983959754,-0.188761060216449,-0.191029820790072,-0.102376441081597,-0.0419004719315939,-0.086078262329056,-0.0182734896228271,-0.129701420911739,-0.135971075618944,-0.068092453990264,-0.159221142437671,0.00968321339425212,-0.064589216584938,-0.0732760140640858,-0.0808358979991487,-0.0540002605380848,-0.0715272461438593,-0.128276278823113,-0.0496503374295193,-0.0499386353087052,0.078069978453484,0.119828759967708,0.0693596217513617,0.0449282310449413,-0.120738832916993
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
