,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160
1,-0.00167619817733434,0.0414925668972834,0.160584080931824,0.0913984243524029,0.083558710840251,0.0415462070281455,-0.0549113735783488,-0.0295292352541374,-0.044338062253275,0.0612510233157353,0.0808962396253215,0.125236288416164,0.0959204545391634,0.0200632270361709,-0.0105279181256069,-0.0569082719212744,-0.00487724353417731,0.0245750968818438,0.0454450386817124,0.130675214982815,0.0594702784959224,0.0553258493526611,0.0125135255857661,-0.0146000422899321,0.0164730218838861,0.0244802146889275,0.13669464902795,0.128962289988415,0.126696566850271,0.00788477969718851,-0.0533633976616509,-0.114137817614496,-0.08363214156637,0.0420035147241349,0.0335379933021651,0.131522579104263,0.0847416537314904,-0.00284631966051626,-0.0122880068259073,-0.0249599108935885,0.0296206105914833,0.0293985776075525,0.084315224821973,0.100038542962794,0.0388027411941088,-0.0264750463838658,-0.0161051681158985,-0.00228789152491369,-0.0988863992416288,0.00204079351160256,0.0197814387685102,-0.0486332516714929,0.0335206734484199,-0.0495962544295239,-0.0886304027621816,-0.191218778300216,-0.120491742698497,-0.0634382386452528,-0.00755280375030365,0.0865074563346381,-0.0126267070067334,-0.0773041245242362,-0.146567068758384,-0.131754372353221,-0.108866437239057,-0.102664578622619,-0.0190658789325337,-0.0230807310373956,0.019293279431307,0.0191029674489992,0.0466481555862529,-0.0167607886064868,-0.0278357160922769,0.0556286093691857,0.00794503980951625,0.0966818350821561,0.0588903618099741,0.00243664642720749,-0.0347027259299865,-0.100598670815856,-0.0264565259498837,-0.0203501912033797,0.0695158156732984,0.121263849013075,0.1303727962736,0.136665194124767,-0.0106170009953487,0.000723427657890747,-0.0136983091201533,0.104845433567813,0.144939845456574,0.126822066664885,0.118229954118197,0.0724040569452383,0.0297606427720762,0.0590247121369843,0.129436459590953,0.0522397587091419,0.0695101014785913,0.142466021254905,-0.0155723709132065,0.0439905400739841,0.0512873129119217,0.0697706755601916,0.107772755385115,0.108463439041904,0.215803865872846,0.223793274783466,0.218609274777836,0.166144131606396,0.132359139803324,0.000822307303133961,0.060459167335152,0.309680771237489,0.139391808206731,0.104837022688589,0.0826746608263145,0.00909784671536354,0.0101097904925978,0.0242556430129808,0.07268694297349,0.062431733161695,0.15637900592,0.15217778019017,0.105988790299617,0.0753079420406548,0.00613812998678979,0.0174101417787386,-0.0503430881431946,0.0484810178627407,0.0842737742572662,0.0896293693406232,0.144759903044518,0.0273020190781586,-0.0623228958612132,-0.0908331598594728,-0.00665537241046469,0.0589051745497538,0.146930330281358,0.196188473511572,0.0953425917843792,0.0819592144840012,0.0290479752974282,0.0281043750003449,0.000857903537522458,0.0196807742089922,0.0973783469580332,0.0244726421741156,0.0585270495433801,0.0139639079856996,-0.0333452915462559,-0.0461164499734161,-0.0537957127656616,0.0564895234006511,-0.0139739244395529,0.0987674009341956,0.0824804251318703,-0.0178359423851079,-0.00273068195685105,-0.0310947547662314
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-0.00331859972180919,-0.10213742973316,-0.0830467367974325,-0.00259044205562545,-0.00928619335751077,-0.0760590324282308,-0.165584907638872,-0.131132817428929,-0.0874202363467366,-0.0160091181500264,-0.0203666530407636,-0.0185360017356531,-0.0173347257800483,-0.0558067039987452,-0.0112747340835035,-0.0242082221736286,-0.00555838058298439,0.0288838909692097,0.0357539980748191,0.0664083243863684,-0.0325630341423966,-0.0347158782174076,-0.0741765050255137,-0.123105495206806,-0.0531795185329825,-0.0316496963570039,0.0862465321780405,0.0733901630265579,0.0765123031882503,-0.065549025259108,-0.157968799409683,-0.150549289960308,-0.100847357401338,-0.0161533920929992,-0.0216588422154472,0.121636792078083,0.134226090207443,0.0640105383920712,0.00350493589291851,-0.042195241884355,-0.0398950548174787,-0.0276706533489693,0.0528718112078781,0.0403479004270976,-0.0290124158406287,-0.0979343600126456,-0.0951553080321848,-0.0712406827828412,-0.0869529407006169,0.0359537696659852,0.0285741438778182,-0.0342283703474808,-0.0310976525001012,-0.0870175159024759,-0.110868398742594,-0.106945419116152,-0.034372345856661,0.00968500723074786,0.0551163475870806,0.0894656064422255,0.100153593260142,0.0375029174338105,-0.0784780767487482,-0.128282246029945,0.0270958094872171,0.0527386745057877,0.00972364670738178,-0.0307086597930382,-0.0903926399704452,-0.0926782484344633,-0.0717225932364437,-0.0655773003195926,-0.0657776359927018,-0.0156661032551373,-0.0415040379126075,0.0353306662887665,-0.0527367295476107,-0.159834111153263,-0.183209343826493,-0.26129164967439,-0.190236057499238,-0.158185971993784,-0.0561649400501725,-0.0381222726724902,-0.0514478102950672,-0.0405263242212589,-0.149947697264578,-0.205832645723846,-0.237103205603491,-0.123440596528448,-0.106316568165434,-0.0892739915145749,-0.0569794167737897,-0.0682877201238784,-0.111140618291594,-0.143359479713936,-0.154166862686668,-0.174808701816905,-0.16505479802931,-0.12867699918578,-0.256655973579467,-0.264706620883697,-0.326403583468223,-0.283199725576684,-0.217446202803686,-0.187944398082557,-0.0595985841023472,-0.0655430577037682,-0.134706438084859,-0.130691594541719,-0.152810466713493,-0.241403501531488,-0.246483295812618,-0.0847451744294794,-0.144275301335911,-0.168275527671398,-0.180687156102985,-0.259756979864378,-0.24550989664363,-0.281550140126013,-0.235044724324307,-0.21181206208073,-0.135767767516494,-0.138087967250856,-0.241734164624388,-0.26984200096089,-0.326223056718027,-0.281506361964726,-0.308133474598975,-0.235112108272984,-0.204659865256846,-0.211835477559625,-0.213814719828181,-0.336787441260515,-0.423367646776645,-0.42682509459953,-0.414363006992074,-0.368758695294975,-0.261890682845164,-0.144587946532925,-0.24337404006628,-0.214436737442931,-0.226577826414816,-0.175876719052129,-0.24170605073355,-0.22180080320704,-0.109229025448249,-0.173934803211854,-0.132924472858746,-0.131596340705827,-0.170494588152829,-0.221796729533821,-0.140406145329846,-0.0228714726135805,-0.0528088219874255,-0.0218061473978806,-0.0757976807350117,-0.125083192951594,-0.120079684591473,-0.113041718015694
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-0.00106620769447478,-0.17212293637116,-0.051474768609941,0.0877070264975644,0.156732689968087,0.207751951823999,0.0817183130968893,-0.122302671123529,-0.0911532665831242,0.0434885034570541,0.146469908833459,0.20335629961009,0.162381318424168,0.0563085237466505,-0.090939151338469,-0.0721368604991631,-0.0890706312420707,-0.0504342248650886,0.0633159346328799,0.176250780963742,0.220934309256116,0.237788681652007,0.140296332258686,-0.0181366813848499,-0.0626187429445954,-0.0241321705646358,0.163961275620655,0.24949360078491,0.245171412382727,0.121539392164294,-0.0638404753954542,-0.190408359776632,-0.153268658355458,-0.0460070850615568,0.0760633016867616,0.170702636475403,0.145985704952847,0.0459701330644095,0.00731249452525537,-0.0664853184559447,-0.00404739630935936,0.00773023527765354,0.0659089291735899,0.147625784518043,0.144127633323446,0.0651796174759467,-0.00512442580203612,-0.114769111817945,-0.260128156195711,-0.121387544849031,-0.0389050313063885,0.0185731457566462,0.0793236448057012,0.0074382810267421,-0.126985077347948,-0.244744905270563,-0.214375000687856,-0.131724080356434,-0.0347261623807799,0.0488259865988166,0.0385046668849776,-0.0849262331380887,-0.202543122442581,-0.251469856588373,-0.266904366488724,-0.183153079458106,-0.0665079346938664,0.0461908896562784,0.0562709477018109,0.0531143277784825,-0.0518138084452267,-0.175231048949239,-0.161653728883461,-0.096630144969836,-0.0681434695111447,0.0787460038537323,0.105643996996963,0.0332060466832687,-0.084211618503673,-0.195296530503142,-0.236061721458163,-0.199279648132326,-0.0858338093474131,0.0743723918379172,0.135302891138392,0.09091283475339,-0.0810703800251616,-0.194582120142299,-0.205529422121023,-0.0375273082189714,0.0339552365516792,0.0475684755038428,0.0169151275398161,-0.048003928145324,-0.186507698128503,-0.153409998436377,-0.18746400951195,-0.191731646130262,-0.0928852467241612,-0.00690247549353166,-0.0799474344364948,-0.0360446880353718,-0.169615411243263,-0.134909630148368,-0.0288580837083837,-0.0361574291415711,0.101281052563993,0.181802569193273,0.195273533376963,0.151867211063694,0.00664042866745115,-0.220051695874384,-0.0904062017315995,0.106841059063894,0.0409323247007776,0.0682555940972979,0.0306111690433878,0.00357231485357855,-0.0996573276518014,-0.132369146126117,-0.127514411627966,0.0212633339350865,0.139621246443285,0.2518158957158,0.209262683856135,0.0612975244127785,-0.0253658388444794,-0.137632350765071,-0.1854959162835,-0.0960030542342717,0.0023059776741442,0.0861862548166621,0.199403744974021,0.143960150608602,-0.014367348691174,-0.101265391041167,-0.114717834087944,-0.0536553162963127,0.127742552651275,0.212589199066348,0.199409613325404,0.0987111334604892,-0.0365417257708526,-0.122922703294317,-0.174459172273713,-0.115589215097056,0.121542104360441,0.0853548496383911,0.0570900128105619,0.0174905266786725,-0.0742915127016788,-0.157723134580433,-0.102356229096162,-0.0470469296220659,-0.0277483862792138,0.157943832419805,0.184974514435798,0.12769318178272,0.0535116068388696,-0.0633600609044952
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
