,date,EDC_M
1,20150618,-0.000343009852503656
2,20150619,-0.000336071092790822
3,20150620,-0.000373667570611976
4,20150621,-0.000375011667728889
5,20150622,-0.000662459239786338
6,20150623,-0.0012645680447017
7,20150624,-0.000949958046172435
8,20150625,-0.00101531558032553
9,20150626,-0.00107028956229098
10,20150627,-0.00115635474366347
11,20150628,-0.00112329724656197
12,20150629,-0.00134616517552731
13,20150630,-0.00140113067532262
14,20150701,-0.00133808464077486
15,20150702,-0.00160842486374193
16,20150703,-0.00148273581773995
17,20150704,-0.00155410268065888
18,20150705,-0.00127420604729565
19,20150706,-0.00123126697976515
20,20150707,-0.00127970572360163
21,20150708,-0.00143165523353823
22,20150709,-0.00149593659384813
23,20150710,-0.00176429840619077
24,20150711,-0.00157541069500072
25,20150712,-0.00134244605162463
26,20150713,-0.00181059819311033
27,20150714,-0.00177668748151952
28,20150715,-0.00178508290891662
29,20150716,-0.00182915519012733
30,20150717,-0.00177967110157821
31,20150718,-0.0019296958249017
32,20150719,-0.00202302026728983
33,20150720,-0.00192587741767639
34,20150721,-0.00195241842950737
35,20150722,-0.00183632776575908
36,20150723,-0.00203736555252529
37,20150724,-0.00201944181679987
38,20150725,-0.00181840149758718
39,20150726,-0.00197518704738253
40,20150727,-0.0020155414168249
41,20150728,-0.00195620398643342
42,20150729,-0.00199730170678792
43,20150730,-0.00198583370386073
44,20150731,-0.00211120831442682
45,20150801,-0.00217032394852763
46,20150802,-0.00245348886982572
47,20150803,-0.00282317198553475
48,20150804,-0.00241093415848527
49,20150805,-0.00249678471130441
50,20150806,-0.00250539995050505
51,20150807,-0.00267957651907421
52,20150808,-0.00254228088560935
53,20150809,-0.00285790460884515
54,20150810,-0.00292318170461313
55,20150811,-0.00285750974442211
56,20150812,-0.00285647011254966
57,20150813,-0.00283017147467919
58,20150814,-0.0028713684333366
59,20150815,-0.00277124599756655
60,20150816,-0.00297165752879063
61,20150817,-0.00300511059969537
62,20150818,-0.00346620736371524
63,20150819,-0.00337888784053308
64,20150820,-0.00362754897738825
65,20150821,-0.00354235209363797
66,20150822,-0.00359819904167426
67,20150823,-0.0038949057436849
68,20150824,-0.00401024795219951
69,20150825,-0.00390609375545843
70,20150826,-0.00385059948623421
71,20150827,-0.00400749724272026
72,20150828,-0.00397163537787486
73,20150829,-0.00406318831964575
