date,ADA,BCH,BNB,CRO,DASH,DCR,DGB,DOGE,EOS,ETC,ETH,HT,ICX,LEND,LINK,MIOTA,MKR,NEO,OKB,OMG,ONT,THETA,TRX,XBT,XEM,XLM,XMR,XRP,XTZ,YFI,ZEC,ZRX
2021-09-28,2.0374,474.74,333.09066233,0.14716051309,147.21,96.28818629,0.04174,0.1968,3.686,45.077,2805.65,7.4819243859,1.4047,1.8510962784,22.09162,1.0469,2226.4189,35.907,11.3,8.9248,0.713853618,4.689279801,0.083,41026.07,0.1345655096,0.256825,229.3,0.89249,5.4678,28227.58,100.87,0.815399
2021-09-29,2.066,484.86,367.59568248,0.14773584528,152.62,100.56667152,0.04272,0.1987,3.748,45.508,2850.14,7.9240890144,1.43,1.8734798592,22.86,1.0401,2231.6725,37.069,11.3,10.3291,0.7299595728,4.824874992,0.085819,41522.16,0.1378535712,0.269626,233.85,0.92744,5.6399,28572.05,103.64,0.833062
2021-09-30,2.1155,502.81,387.53943449,0.15715440598,166.0,105.74834959,0.04467,0.2042,3.937,47.044,3000.46,8.1666825305,1.5267,1.9773582816,24.0,1.1465,2289.7704,39.249,11.3,12.4499,0.7774453882,5.052956779,0.08933,43824.43,0.1463735962,0.278787,251.0,0.95174,6.0742,29223.58,107.14,0.915845
2021-10-01,2.2554,544.01,421.64306304,0.172192592,176.76,111.40740288,0.04911,0.2228,4.277,51.927,3311.16,8.7753198144,1.9145,2.1732390912,26.33045,1.3189,2444.0992,42.383,11.3,12.7769,0.8467540608,5.987003968,0.094779,48165.76,0.1594286656,0.30044,257.98,1.04213,6.694,31701.81,114.92,0.981078
2021-10-02,2.2489,552.49,427.25119085,0.17342633391,178.06,114.8550329,0.04928,0.2187,4.326,53.26,3387.82,8.3010164442,1.9442,2.1503149728,26.90795,1.2681,2478.0,42.46982782,11.3,15.5473,0.8459239975,6.057292399,0.093385,47657.69,0.1596532615,0.316626,252.79,1.03586,7.337,31900.0,114.34,0.973961
2021-10-03,2.2531,571.41,430.7295307,0.17870693295,178.36,118.41444545,0.04826,0.2218,4.638,53.7,3420.07,8.1423798519,2.1684,2.1763176288,27.58486,1.212,2542.287,44.477,11.3,16.5414,0.9043873125,6.12571673,0.095037,48233.99,0.1625485463,0.315003,259.38,1.05469,8.6981,31349.94,118.83,1.004039
2021-10-04,2.1915,550.68,426.56486748,0.17940150222,174.2,126.11782794,0.04798,0.2415,4.594,52.533,3387.2,8.1407802174,2.171,2.2219587648,26.62653,1.1957,2548.3812,43.056,11.3,16.5871,0.8672139594,6.022729542,0.093746,49245.54,0.1590630942,0.310451,265.14,1.04225,8.3323,30767.08,116.76,0.972686
2021-10-05,2.2331,594.7,442.38486809,0.18007448303,182.67,125.43935964,0.05373,0.2519,4.731,54.367,3515.3,8.079407031,2.2885,2.3234088288,27.23022,1.22826813,2543.3942,46.724,11.3,15.5487,0.9171079619,6.719965695,0.096272,51493.99,0.1704451069,0.319111,270.94,1.08404,7.9356,31863.74,123.28,1.026375
2021-10-06,2.2107,617.19,434.91297332,0.18328435776,185.18,128.60895152,0.05181,0.2542,4.744,54.744,3575.85,8.3523877164,2.2119,2.4969173376,26.80818,1.2844,2488.5944,46.351,11.3,14.4151,0.9291498692,6.41937968,0.095432,55339.48,0.171552388,0.357927,287.55,1.07721,7.7481,32055.2,125.5,1.037646
2021-10-07,2.2783,611.62,438.50603082,0.1834505662,188.94,125.77930316,0.0532,0.2428,4.723,54.304,3588.51,7.8453360906,2.1243,2.4273576384,26.82026,1.2763,2500.1217,46.041,11.3,14.9439,0.9419998282,6.498776656,0.095439,53797.82,0.1732289804,0.3437,277.77,1.06728,7.6085,32191.76,125.24,1.027532
