,Horizon,Roos_FRM_5P,Roos_FRM_25P,Roos_FRM_50P,Roos_DAG,Roos_GDC,Roos_PCA_1,Roos_TCI
1,10,-0.0432313659784396,-0.0490373475193504,-0.0329507702867329,-0.0370622455305958,-0.0431886768819869,-0.0466020631664978,-0.0624853817811044
2,25,-0.040635681311247,-0.0440286551946412,-0.0356792420954883,-0.0415990900089407,-0.0214793534099478,-0.0483172884376801,-0.0524590069843287
3,63,-0.0411495528558314,-0.0376074639794286,-0.0382332334234174,-0.0412484281607064,-0.0312513711410389,-0.0432127052814171,-0.0413387124803313
4,110,-0.0601830741147249,-0.0516394432597174,-0.0565598597394394,-0.0385347015251249,-0.039666757483884,-0.0525571963624567,-0.0657359034070006
