,Horizon,Roos_FRM_5P,Roos_FRM_25P,Roos_FRM_50P,Roos_DAG,Roos_GDC,Roos_PCA_1,Roos_TCI
1,10,0.765538682314695,0.721578705189716,0.699286530736323,0.700672746881118,0.550567845966782,0.603867809240812,0.740509702007035
2,25,0.688673878717659,0.667544267820491,0.649568118092978,0.665768996364986,0.571579812324116,0.609583898321578,0.653983529627505
3,63,0.682870717743938,0.601482584033556,0.630323297414881,0.632012535868591,0.568299529293266,0.733645641049845,0.655956998116897
4,110,0.637708638705664,0.610606767873959,0.601422235611712,0.69744271471767,0.605993623084446,0.663641008627146,0.622311657279802
